target_key,paper_uid,title,doi,arxiv_id,abstract,publication_date,authors,affiliations,source,affiliation_status,compliance_reason,matched_tokens,checked_affiliations,compliance_details,assessed_at,created_at,updated_at,dedup_key,title_fingerprint
student_08ccb2623d40b49ad9c7,doi:10.1007/s10278-025-01666-5,A New Method of Modeling the Multi-stage Decision-Making Process of CRT Using Machine Learning with Uncertainty Quantification,10.1007/s10278-025-01666-5,,,2025-09-19 00:00:00+00,"[""Amalia Peix"", ""Diana Páez"", ""Guang‐Uei Hung"", ""Jiangang Zou"", ""Joyce H. Keyak"", ""Kristoffer Larsen"", ""Qiuying Sha"", ""Weihua Zhou"", ""Xinwei Zhang"", ""Zhao Chen"", ""Zhuo He""]","[""Chang Bing Show Chwan Memorial Hospital"", ""International Atomic Energy Agency"", ""Irvine University"", ""Jiangsu Province Hospital"", ""Kennesaw State University"", ""Michigan Technological University"", ""Nanjing Medical University"", ""University of California, Irvine"", ""University of Havana""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：无。,[],[],"{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：无。"", ""generated_at"": ""2026-03-31T12:31:04.672855"", ""matched_tokens"": [], ""checked_affiliations"": []}",2026-03-31 06:51:09.808904+00,2026-03-31 06:51:09.720994+00,2026-03-31 12:31:04.513636+00,doi:10.1007/s10278-025-01666-5,b2b47916557ea91cf694
student_2d50b5890abb249182a2,doi:10.1007/s40964-025-01409-6,Rapid searching of process parameters in architected lattice via a gradient boosting machine learning framework with small sample sizes,10.1007/s40964-025-01409-6,,,2025-11-11 00:00:00+00,"[""Danqing Song"", ""Jiale Cheng"", ""Lan Kang"", ""Liangyu Huang"", ""Nan Hu"", ""Qisen Chen"", ""Yanxi Wang""]","[""South China University of Technology""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：South China University of Technology。,[],"[""South China University of Technology""]","{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：South China University of Technology。"", ""generated_at"": ""2026-04-02T14:00:40.078238"", ""matched_tokens"": [], ""checked_affiliations"": [""South China University of Technology""]}",2026-04-02 14:00:40.079693+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.1007/s40964-025-01409-6,f144e094f6444e48f323
student_fc8f6ec1b9426d2708a9,doi:10.2139/ssrn.5237963,Diffusion Model in Robotics: A Comprehensive Review,10.2139/ssrn.5237963,,,2025-01-01 00:00:00+00,"[""Cong Du"", ""Liangjing Shao"", ""Linxin Bai"", ""Xiaobo Yang"", ""Xinrong Chen""]","[""Fudan University""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：Fudan University。,[],"[""Fudan University""]","{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：Fudan University。"", ""generated_at"": ""2026-04-02T14:00:40.085904"", ""matched_tokens"": [], ""checked_affiliations"": [""Fudan University""]}",2026-04-02 14:00:40.089681+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.2139/ssrn.5237963,58192a1a06ac7569f9a1
student_fc8f6ec1b9426d2708a9,doi:10.1038/s41598-025-01538-6,Single-cell RNA sequencing reveals immunological link between house dust mite allergy and childhood asthma,10.1038/s41598-025-01538-6,,"Allergic asthma in children is typically associated with house dust mites (HDM) as the key allergen. Nevertheless, the diagnostic rate remains below 60% due to the absence of specific symptoms and diagnostic markers, which hinders the implementation of targeted personalized therapies. This study investigates immunological features of asthma with house dust mite (HDM) sensitisation in children, aiming to uncover diagnostic markers at single-cell resolution. The cohort comprised 8 children with physician-diagnosed asthma (age range: 4-11 years), stratified into groups based on HDM sensitization status. Single-cell RNA sequencing of peripheral blood mononuclear cells (PBMCs) was conducted, employing Seurat for cell identification and differential gene expression analysis. Enrichment analyses and LASSO regression identified signature genes related to cellular origin, with protein-protein interaction networks elucidating cellular communication differences between groups. A total of 11 distinct cell types were identified, with classical monocytes and monocytes being the predominant cell types that differentiated the two groups. Among these, 12 genes were up-regulated, and 40 down-regulated, mainly involving MHC-II complex and antigen presentation pathways, as validated by Gene Ontology and Gene Set Enrichment Analysis. The machine learning model accurately predicted cellular groupings, evidenced by an area under the curve of 0.83. Enhanced communication signals in HDM allergy cases involved monocytes, contrasting with reduced interactions in naive CD8 + cells. HLA-DR and HLA-DP were identified as the primary hallmark receptors, and the innate immunity differences with non-dust mite allergic asthma were characterized by 18 genes including top candidates MT-ND4 and RPS3A. Individuals with HDM-sensitized asthma exhibited altered expression of MHC-II complex genes in their PBMCs and distinct gene expression patterns in antigen-presenting cells, highlighting the critical role of HLA-DR and HLA-DP in the HDM allergen presentation.",2025-05-14 00:00:00+00,"[""Bo Ye"", ""Kang Chen"", ""Lingyun Zou"", ""Xueqi Hong""]","[""Army Medical University""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：Army Medical University。,[],"[""Army Medical University""]","{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：Army Medical University。"", ""generated_at"": ""2026-04-02T14:00:40.085890"", ""matched_tokens"": [], ""checked_affiliations"": [""Army Medical University""]}",2026-04-02 14:00:40.086466+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.1038/s41598-025-01538-6,72f298ddc39c36ca9fef
student_94a4599097e58bc8faca,doi:10.1158/1078-0432.22467479,Supplementary Table S3. OncoPlus Gene List and Identified Variants from B-Cell Lymphoma Patient-Derived Xenograft Models Enable Drug Discovery and Are a Platform for Personalized Therapy,10.1158/1078-0432.22467479,,,2023-03-31 00:00:00+00,"[""Bingliang Fang"", ""Carrie Li"", ""David Santos"", ""Hui Guo"", ""Hui Zhang"", ""Jack Wang"", ""Jacqueline Wang"", ""Jeremy P. Segal"", ""Krystle Nomie"", ""Lan Pham"", ""Laura Lam"", ""Lei Li"", ""Leo Yu Zhang"", ""Makhdum Ahmed"", ""Maria Badillo"", ""Michael Wang"", ""Onyekachukwu Oriabure"", ""Qing Yi"", ""Sabah Kadri"", ""Selvi Thirumurthi"", ""Shaoying Li"", ""Shawana Richard"", ""Shengjian Huang"", ""Shouhao Zhou"", ""Shruti Sharma"", ""Steven Y. Huang"", ""Taylor J. Bell"", ""Wendy Chen"", ""Wenjing Tao"", ""Y. Lynn Wang"", ""Yang Liu"", ""Yiping Shao"", ""Zhihong Chen""]",[],openalex,unknown,待核验：论文缺少可识别机构信息。,[],[],"{""status"": ""unknown"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""待核验：论文缺少可识别机构信息。"", ""generated_at"": ""2026-03-31T12:31:04.913502"", ""matched_tokens"": [], ""checked_affiliations"": []}",2026-03-31 06:51:10.081154+00,2026-03-31 06:51:09.720994+00,2026-03-31 12:31:04.513636+00,doi:10.1158/1078-0432.22467479,f5efa1b16e0ce9c00638
student_7ea402b543911b4d6001,doi:10.1109/hpcc67675.2025.00085,Dynamic Pruning with Maximum Entropy Reinforcement Learning for Geological Environment Remote Sensing Interpretation,10.1109/hpcc67675.2025.00085,,,2025-08-13 00:00:00+00,"[""Haifeng Du"", ""Honglei Jing"", ""Jiabao Li"", ""Jianxin Li"", ""Min Jin Jin"", ""Xiaohui Huang"", ""Yuewei Wang"", ""Yunliang Chen""]","[""China University of Geosciences"", ""Edith Cowan University"", ""Wuhan Business University""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：无。,[],[],"{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：无。"", ""generated_at"": ""2026-03-31T12:31:05.042494"", ""matched_tokens"": [], ""checked_affiliations"": []}",2026-03-31 06:51:10.234692+00,2026-03-31 06:51:09.720994+00,2026-03-31 12:31:04.513636+00,doi:10.1109/hpcc67675.2025.00085,c32eda44e55bd99c712c
student_da41398d7a07b3d343b8,doi:10.4043/35825-ms,Submarine Continental Slopes Stability Prediction of Natural Gas Hydrates Based on Machine Learning,10.4043/35825-ms,,"Abstract In the process of extracting naturally-occurring oceanic gas hydrates, the dissociation of hydrates can cause a reduction in soil strength. This reduction has the potential to trigger slope failure and submarine landslides, which present a catastrophic threat to offshore facilities and hydrate production. This research aims to create a robust and accurate machine-learning model that can efficiently predict stability of submarine continental slopes where gas hydrates are widespread. By collecting and analyzing 144 relevant cases, a comprehensive dataset was constructed, incorporating slope basic data, overlying and underlying layer data, and geological parameters of the hydrate layer. After conducting a correlation coefficient analysis between the characteristic parameters of the dataset and the output, the key characteristic parameters were determined. To model the dataset and assess its performance, four machine learning techniques were employed: Random Forest (RF), XGBoost, K-Nearest Neighbors (KNN), and Support Vector Machine (SVM). Formation physical parameters, geotechnical parameters, and NGH parameters were taken as input parameters, and the stability of NGH slopes was taken as prediction indicator. Evaluation metrics such as the ROC and confusion matrix were employed to comprehensively evaluate these models’ classification ability. Among these algorithms, the RF algorithm achieves the best prediction accuracy and AUC value, demonstrating its potential in submarine continental slopes stability prediction of natural gas hydrates. Additionally, sensitive analysis using Gini impurity calculations revealed that hydrate decomposition degree is the most significant factor affecting slope stability, followed by the burial depth and thickness of the hydrate layer. The slope angle, cohesion, and internal friction angle also have significant impacts. This study provides a new perspective for predicting submarine continental slopes stability with NGH and offers a scientific basis for safe and efficient NGH exploitation.",2025-04-28 00:00:00+00,"[""Dingyuan Liu"", ""Kexin Zhang"", ""Qiang Fu"", ""Tian Zheng"", ""Xuwen Qin"", ""Yixuan Wang"", ""Yu Chen"", ""Yufa He"", ""Yunjian Zhou""]","[""China Geological Survey"", ""China National Offshore Oil Corporation (China)""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：China Geological Survey；China National Offshore Oil Corporation (China)。,[],"[""China Geological Survey"", ""China National Offshore Oil Corporation (China)""]","{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：China Geological Survey；China National Offshore Oil Corporation (China)。"", ""generated_at"": ""2026-04-02T14:00:40.108736"", ""matched_tokens"": [], ""checked_affiliations"": [""China Geological Survey"", ""China National Offshore Oil Corporation (China)""]}",2026-04-02 14:00:40.109234+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.4043/35825-ms,bfeffcadd0d47790fe37
student_b866c86bbc24bb3f6f8a,doi:10.48550/arxiv.2505.21847,RePaViT: Scalable Vision Transformer Acceleration via Structural Reparameterization on Feedforward Network Layers,10.48550/arxiv.2505.21847,,"We reveal that feedforward network (FFN) layers, rather than attention layers, are the primary contributors to Vision Transformer (ViT) inference latency, with their impact signifying as model size increases. This finding highlights a critical opportunity for optimizing the efficiency of large-scale ViTs by focusing on FFN layers. In this work, we propose a novel channel idle mechanism that facilitates post-training structural reparameterization for efficient FFN layers during testing. Specifically, a set of feature channels remains idle and bypasses the nonlinear activation function in each FFN layer, thereby forming a linear pathway that enables structural reparameterization during inference. This mechanism results in a family of ReParameterizable Vision Transformers (RePaViTs), which achieve remarkable latency reductions with acceptable sacrifices (sometimes gains) in accuracy across various ViTs. The benefits of our method scale consistently with model sizes, demonstrating greater speed improvements and progressively narrowing accuracy gaps or even higher accuracies on larger models. In particular, RePa-ViT-Large and RePa-ViT-Huge enjoy 66.8% and 68.7% speed-ups with +1.7% and +1.1% higher top-1 accuracies under the same training strategy, respectively. RePaViT is the first to employ structural reparameterization on FFN layers to expedite ViTs to our best knowledge, and we believe that it represents an auspicious direction for efficient ViTs. Source code is available at https://github.com/Ackesnal/RePaViT.",2025-05-28 00:00:00+00,"[""Jiajun Liu"", ""Li Yang"", ""S. Wang"", ""Xuwei Xu"", ""Yudong Chen""]",[],openalex,unknown,待核验：论文缺少可识别机构信息。,[],[],"{""status"": ""unknown"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""待核验：论文缺少可识别机构信息。"", ""generated_at"": ""2026-04-02T14:00:40.177405"", ""matched_tokens"": [], ""checked_affiliations"": []}",2026-04-02 14:00:40.179934+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.48550/arxiv.2505.21847,c2f00760391624407a72
student_fe7a86d098b1d3bd5994,doi:10.3390/electronics14214142,An Attention-Enhanced Network for Person Re-Identification via Appearance–Gait Fusion,10.3390/electronics14214142,,"The objective of person re-identification (Re-ID) is to recognize a given target pedestrian across different cameras. However, perspective variations, resulting from differences in shooting angles, often significantly impact the accuracy of person Re-ID. To address this issue, this paper presents an attention-enhanced person Re-ID algorithm based on appearance–gait information interaction. Specifically, appearance features and gait features are first extracted from RGB images and gait energy images (GEIs), respectively, using two ResNet-50 networks. Then, a multimodal information exchange module based on the attention mechanism is designed to build a bridge for information exchange between the two modalities during the feature extraction process. This module aims to enhance the feature extraction ability through mutual guidance and reinforcement between the two modalities, thereby improving the model’s effectiveness in integrating the two types of modal information. Subsequently, to further balance the signal-to-noise ratio, importance weight estimation is employed to map perspective information into the importance weights of the two features. Finally, based on the autoencoder structure, the two features are weighted and fused under the guidance of importance weights to generate fused features that are robust to perspective changes. The experimental results on the CASIA-B dataset indicate that, under conditions of viewpoint variation, the method proposed in this paper achieved an average accuracy of 94.9%, which is 1.1% higher than the next best method, and obtained the smallest variance of 4.199, suggesting that the method proposed in this paper is not only more accurate but also more stable.",2025-10-22 00:00:00+00,"[""Huabo Sun"", ""Lei Chen"", ""Mingqian Yang"", ""Xiangyu Zhao"", ""Xu Hanming"", ""Yiyu Cai"", ""Zelong Yu""]","[""Beijing Microelectronics Technology Institute"", ""China Aerospace Science and Technology Corporation"", ""Peking University""]",openalex,non_compliant,不合规：未命中白名单机构。已检查机构：Beijing Microelectronics Technology Institute；China Aerospace Science and Technology Corporation；Peking University。,[],"[""Beijing Microelectronics Technology Institute"", ""China Aerospace Science and Technology Corporation"", ""Peking University""]","{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：Beijing Microelectronics Technology Institute；China Aerospace Science and Technology Corporation；Peking University。"", ""generated_at"": ""2026-04-02T14:00:40.115848"", ""matched_tokens"": [], ""checked_affiliations"": [""Beijing Microelectronics Technology Institute"", ""China Aerospace Science and Technology Corporation"", ""Peking University""]}",2026-04-02 14:00:40.118888+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.3390/electronics14214142,499e643d51744ab1520a
student_225bef9f86b052d54ecd,doi:10.3390/app152312382,Grouting Power Prediction Method Based on CEEMDAN-CNN-BiLSTM,10.3390/app152312382,,"Grouting power serves as a critical parameter reflecting real-time energy input during grouting operations, and its accurate prediction is essential for intelligent control and engineering safety. Existing prediction methods often struggle to handle the strong nonlinearity, noise interference, adaptability to varying conditions in grouting power data. To address these challenges, an intelligent grouting system that integrates real-time data collection and core control modules has been developed. Subsequently, a grouting power prediction model is then proposed, which combines Complete Ensemble Empirical Mode Decomposition and Adaptive Noise (CEEMDAN) with a Convolutional Neural Net-work-Bidirectional Long Short-Term Memory Neural Network (CNN-BiLSTM) is proposed. The approach employs CEEMDAN to decompose the nonlinear and non-stationary power sequence into multiple intrinsic mode functions (IMFs). Each IMF is then separated into linear and nonlinear components using a moving average method. The linear components are predicted using an Autoregressive Integrated Moving Average (ARIMA) model, while the nonlinear components are predicted using a CNN-BiLSTM model. The final prediction is obtained by reconstructing the results from both components. Experimental comparisons under both normal and heaving grouting conditions demonstrate that the proposed model significantly outperforms LSTM, CNN-LSTM, and CNN-BiLSTM models. With 80% of the dataset used for training, the RMSE for normal conditions is reduced by 95.69%, 85.11%, and 80.55%, respectively, and for heaving conditions by 94.91%, 90.71%, and 84.62%, respectively. This research provides high-precision predictive support for grouting regulation under complex working conditions, offering substantial engineering application value.",2025-11-21 00:00:00+00,"[""Fan Huang"", ""Yang Yang"", ""Yong Ding"", ""Zhi Cao""]","[""Changjiang Institute of Survey, Planning, Design and Research"", ""China National Petroleum Corporation (China)"", ""Hubei Water Resources Research Institute"", ""Wuhan University of Technology""]",openalex,non_compliant,"不合规：未命中白名单机构。已检查机构：Changjiang Institute of Survey, Planning, Design and Research；China National Petroleum Corporation (China)；Hubei Water Resources Research Institute；...。",[],"[""Changjiang Institute of Survey, Planning, Design and Research"", ""China National Petroleum Corporation (China)"", ""Hubei Water Resources Research Institute"", ""Wuhan University of Technology""]","{""status"": ""non_compliant"", ""rule_id"": ""affiliation_whitelist"", ""explanation"": ""不合规：未命中白名单机构。已检查机构：Changjiang Institute of Survey, Planning, Design and Research；China National Petroleum Corporation (China)；Hubei Water Resources Research Institute；...。"", ""generated_at"": ""2026-04-02T14:00:40.121854"", ""matched_tokens"": [], ""checked_affiliations"": [""Changjiang Institute of Survey, Planning, Design and Research"", ""China National Petroleum Corporation (China)"", ""Hubei Water Resources Research Institute"", ""Wuhan University of Technology""]}",2026-04-02 14:00:40.123425+00,2026-04-02 14:00:40.0784+00,2026-04-02 14:00:40.0784+00,doi:10.3390/app152312382,72107dea8e81d2ebc9f0
